MS:  	 1831: 
[DELstart] sh[DELend]  	[NO 1831 VARIANT]
 Mother. 	 mother. 
 girl 	 girl! 
 house 	 house; 
 aunt: 	 aunt; 
 manners 	 manners, 
[DELstart] did[DELend]  	[NO 1831 VARIANT]
 Mothers 	 mother’s 
[DELstart] fo[DELend] man 	 woman 
unkindness  	 unkindness, 
 oftenor 	 oftener 
 as 	 of 
[DELstart] h[DELend]  	[NO 1831 VARIANT]
 & 	 and 
 last 	 length 
 Mad. Martin 	 Madame Moritz 
 encreased 	 increased 
[DELstart] for[DELend][DELstart] S[DELend][DELstart] did[DELend]  	 peace forever. She 
th[ADDstart] is[ADDend][ADDstart] ^[ADDend][ADDstart] last[ADDend] . 	 this last winter. 
 us 	 us; 
 extremely mild & pretty and 	 gentle, and extremely pretty; 
before [DELstart] she[DELend][DELstart] is[DELend]  	 before, 
[DELstart] air[DELend][ADDstart] mein[ADDend]  	 mien 
[DELstart] are[DELend]  	[NO 1831 VARIANT]
Aunt.[DELstart] And[DELend]  I 	 aunt.     “I 
 you also, My 	 you, my 
 Victor, 	 cousin, 
 him. He 	 him; he 
 age 	 age, 
eyes [DELstart] and[DELend]  	 eyes, 
 eyelashes 	 eye-lashes, 
 hair 	 hair. 
 smiles 	 smiles, 
 his cheeks 	 each cheek, 
health — his chin comes down in [DELstart] a[DELend] He 	 health. He 
 but 	 wives , but 
[DELstart] Caln[DELend]  	[NO 1831 VARIANT]
 favourite– 	 favourite, 
old [DELstart] Miss Mansfeld[DELend]  Now, 	 of age.     “Now, 
 Victor 	 Victor, 
  	[NO 1831 VARIANT]
[DELstart] I[DELend]  	[NO 1831 VARIANT]
 about your acquaintance. 	 concerning the good people of Geneva. 
 Mansfeld 	 Mansfield 
[DELstart] on[DELend][DELstart] her[DELend]  	[NO 1831 VARIANT]
[DELstart] Mebourne[DELend] bourne 	 Melbourne, 
 sister Manon 	 sister, Manon, 
 Hofland 	 Duvillard, 
 banker 	 banker, 
 schoolfellow 	 schoolfellow, 
Manoir [DELstart] ma[DELend]  	 Manoir, 
[DELstart] d[DELend]  	[NO 1831 VARIANT]
Geneva [DELstart] b[DELend]  	 Geneva. 
[DELstart] atready[DELend]  	[NO 1831 VARIANT]
 spirits 	 spirits, 
 he 	 is 
[DELstart] m[DELend]  	[NO 1831 VARIANT]
french  woman— Mad. Tavernier –She 	 Frenchwoman, Madame Tavernier. She 
 widow 	 widow, 
 Manoir 	 Manoir; 
[DELstart] adv[DELend]  admired 	 admired, 
every body. I 	 everybody.     “I 
 good 	 better 
Cousin yet I can not conclude [ADDstart] ^[ADDend][ADDstart] on[ADDend] other side 	 cousin; but my anxiety returns upon me as I conclude. Write, dearest Victor,—one line—one word will be a blessing to us. Ten thousand thanks to Henry for his kindness, his affection, and his many letters: we are sincerely grateful. Adieu! my cousin; take care 
the question [DELstart] dearrest[DELend]  	 yourself; and, I entreat you, write!     “E LIZABETH  L AVENZA .     “Geneva, March 18th, 17—.” 
  	[NO 1831 VARIANT]
 "Dear, 	 “Dear, 
 Elizabeth" 	 Elizabeth!” 
 exclaimed 	 exclaimed, 
 letter"–I 	 letter, “I 
 instantly 	 instantly, 
 great pain 	 anxiety 
feel." I 	 feel.” I 
[DELstart] was[DELend] commenced 	 had commenced, 
[DELstart] went on[DELend][ADDstart] on[ADDend][ADDstart] proceeded[ADDend]  regularly–in 	 proceeded regularly. In 
  	[NO 1831 VARIANT]
 one 	 One 
[ADDstart] ^[ADDend][ADDstart] several[ADDend]  	 several 
 And in 	 In 
 this 	 this, 
under [DELstart] torments[DELend]  	 underwent 
usage [DELstart] that[DELend]  	 usage, 
[DELstart] befitten[DELend]  	[NO 1831 VARIANT]
[ADDstart] that[ADDend] my 	 that my 
 night – 	 night, 
labours & the 	 labours, and the 
misfortunes [DELstart] ([DELend]  	 misfortunes, 
[DELstart] Chemistry[DELend][ADDstart] Natural Philosophy[ADDend] . 	 natural philosophy. 
 health 	 health, 
[ADDstart] a[ADDend] Chemical 	 a chemical 
[ADDstart] renewed[ADDend]  	 would renew 
[ADDstart] ^[ADDend] the 	 the 
my[ADDstart] ^[ADDend]  	[NO 1831 VARIANT]
symtoms. [DELstart] Lo[DELend] Henry 	 symptoms. Henry 
 this 	 this, 
[DELstart] packed up[DELend][ADDstart] removed[ADDend] all 	 removed all 
[DELstart] machines[DELend][DELstart] in a chest[DELend] apparatus 	 apparatus 
[DELstart] che[DELend]  he 	 view. He 
[DELstart] room[DELend][ADDstart] apartment,[ADDend]  	 apartment; 
 to 	 for 
 workshop. 	 laboratory. 
[DELstart] thrown away[DELend] made 	 made 
 even my excellent 	[NO 1831 VARIANT]
 praised 	 praised, 
[DELstart] the[DELend]  	[NO 1831 VARIANT]
 that 	[NO 1831 VARIANT]
dislike[DELstart] of[DELend][ADDstart] d[ADDend]  	 disliked 
 subject, 	 subject; 
 cause 	 cause, 
feelings[DELstart] on hearing myself praised[DELend][DELstart] he therefore[DELend]  	 feelings to modesty, and 
[DELstart] an[DELend]  	[NO 1831 VARIANT]
 desire 	 desire, 
 saw 	 saw, 
[DELstart] friend[DELend]  	[NO 1831 VARIANT]
[DELstart] K[DELend][DELstart] How cruel is[DELend]  	[NO 1831 VARIANT]
please [DELstart] and[DELend][DELstart] me[DELend] & 	 please, and 
[DELstart] tortured[DELend][DELstart] it was[DELend] I 	 tormented me. I 
[DELstart] had[DELend] carefully 	 had placed carefully, 
one [DELstart] placed[DELend]  	 one, 
[DELstart] dre[DELend]  	[NO 1831 VARIANT]
shew [DELstart] my[DELend]  	 exhibit 
 others 	 others, 
subject alledging [ADDstart] ^[ADDend][ADDstart] his[ADDend] ignorance & 	 subject, alleging, in excuse, his total ignorance; and 
 him 	 my friend 
 saw 	[NO 1831 VARIANT]
 me, 	 me; 
[DELstart] love[DELend]  	 affection 
[DELstart] pr[DELend]  	[NO 1831 VARIANT]
 thoughts, 	 recollection, 
  	[NO 1831 VARIANT]
 . 	 M. 
[DELstart] yet[DELend][ADDstart] ^[ADDend][ADDstart] equally[ADDend][ADDstart] &[ADDend] as 	 equally docile; and in 
illness had made me condition 	 condition at that time, 
in  	 insupportable sensitiveness, 
 econiums 	 encomiums 
[DELstart] that[DELend]  	[NO 1831 VARIANT]
Waldman —"Dam[ADDstart] n[ADDend] "the fellow," 	 Waldman. “D—n the fellow!” 
he "Why M "I tell 	 he; “why, M. Clerval, I assure 
[DELstart] beaut[DELend]  	[NO 1831 VARIANT]
 "us all– ay 	 us all. Ay, 
 please 	 please; 
 "it 	 it 
 true – 	 true. 
 "who 	 who, 
[DELstart] two[DELend]  three 	 a few 
 ago 	 ago, 
 "Cornelius 	 in Cornelius 
[DELstart] to be[DELend][ADDstart] ^[ADDend] as 	 as 
 gospel 	 gospel, 
 "now 	 now 
 "the university & 	 the university; and 
 "pulled down 	 pulled down, 
 "of countenance.—Aye, Aye, 	 of countenance.—Ay, ay,” 
 "he 	 he, 
[DELstart] countenance[DELend][ADDstart] ^[ADDend][ADDstart] face[ADDend] pressive 	 face expressive 
suffering "Mr. [DELstart] f[DELend] stein 	 suffering, “M. Frankenstein 
 modest 	 modest; 
 "a 	 a 
 man; 	 man. 
 "diffident 	 diffident 
 themselves 	 themselves, 
know M "Clerval; 	 know, M. Clerval: 
 young 	 young; 
 "one soon grows 	 that wears 
of that."  	 in a very short time.”     M. 
[DELstart] the subject of his own praise[DELend] an 	 an 
himself  and that 	 himself, which 
 the 	 a 
[DELstart] painful[DELend][ADDstart] agonizing[ADDend] Clerval was no 	 annoying to me.     Clerval had never sympathised in my tastes for 
philosopher.   	 science; and his literary pursuits differed wholly from those which had occupied me. He came to the university with 
 minutiæ 	 design 
science. [DELstart] La[DELend][DELstart] chief[DELend][ADDstart] ^[ADDend][ADDstart] principal[ADDend]  study for 	 making himself complete master of the oriental languages, as thus 
 wished to 	 should 
[DELstart] ^him[DELend][DELstart] Greek[DELend][DELstart] &[DELend][ADDstart] ^[ADDend][ADDstart] him[ADDend]  Arabic & Hebrew gained 	 the plan of life he had marked out for himself. Resolved to pursue no inglorious career, he turned 
atten[DELstart] when[DELend] so soon 	 eyes toward the East, 
 ly master 	 affording scope for his spirit 
the Greek & Latin langua ges. For my own part idleness 	 enterprise. The Persian, Arabic, and Sanscrit languages engaged his attention, and I was easily induced to enter on the same studies. Idleness 
 me 	 me, 
reflec tion 	 reflection, 
studies [DELstart] a[DELend]  	 studies, 
 found 	 felt 
 fellow pupil 	 fellow-pupil 
[DELstart] fr[DELend]  friend 	 friend, 
 I 	 found 
 a 	[NO 1831 VARIANT]
found [DELstart] instruct[DELend][ADDstart] not only[ADDend] tion 	 instruction 
[DELstart] There is something soothing[DELend] Their 	 I did not, like him, attempt a critical knowledge of their dialects, for I did not contemplate making any other use of them than temporary amusement. I read merely to understand their meaning, and they well repaid my labours. Their 
 soothing 	 soothing, 
 elevating 	 elevating, 
 before 	[NO 1831 VARIANT]
[DELstart] reading[DELend][DELstart] any[DELend][ADDstart] ^[ADDend][ADDstart] studying[ADDend][ADDstart] ^[ADDend] the 	 studying the 
of[ADDstart] any[ADDend]  	 of any 
[DELstart] books.[DELend][ADDstart] ^[ADDend][ADDstart] country.[ADDend] When 	 country. When 
read[DELstart] s[DELend]  	 read 
[DELstart] li[DELend]  writings 	 writings, 
 gardens 	 a garden 
 roses – in 	 roses,—in 
&[DELstart] tears[DELend]  	 and frowns 
 enemy 	 enemy, 
 heart 	 heart. 
man[DELstart] warlike[DELend][ADDstart] ^[ADDend][ADDstart] l[ADDend] heroical 	 manly and heroical 
& Rome. Summer 	 and Rome!     Summer 
[DELstart] studies[DELend] & 	 occupations, and 
Autum[ADDstart] n[ADDend]  	 autumn; 
  	[NO 1831 VARIANT]
 accidents 	 accidents, 
 & 	 and 
[DELstart] and[DELend]  	[NO 1831 VARIANT]
 impassable 	 impassable, 
[DELstart] delayed[DELend][ADDstart] ^[ADDend][ADDstart] journey[ADDend]  untill 	 journey was retarded until 
[ADDstart] ^[ADDend][ADDstart] ensuing[ADDend]  	 ensuing 
bitterly [ADDstart] ^[ADDend][ADDstart] for[ADDend]  	 bitterly; for 
friends [DELstart] and[DELend]  my 	 friends. My 
 long 	 long, 
 town 	 place, 
winter [ADDstart] ^[ADDend][ADDstart] however[ADDend]  	 winter, however, 
[DELstart] however[DELend][DELstart] a[DELend][DELstart] one[DELend][ADDstart]  spent[ADDend][ADDstart] ly[ADDend]  	 spent cheerfully; 
 late 	 late, 
[DELstart] Ma[DELend]  	    
 was 	 had 
[DELstart] finis[DELend][DELstart] end[DELend] pleated, 	 commenced, 
 daily 	[NO 1831 VARIANT]
 that 	 daily which 
[DELstart] return[DELend][ADDstart] ^[ADDend][ADDstart] departure,[ADDend]  When 	 departure, when 
 Ingolstadt 	 Ingolstadt, 
in habited.– 	 inhabited. 
 acceeded 	 acceded 
propos[ADDstart] ^[ADDend][ADDstart] ition[ADDend] – 	 proposition: 
 Exercise 	 exercise, 
[ADDstart] ^[ADDend][ADDstart] the[ADDend]  	 the 
coun  	 country. 
 try. 	[NO 1831 VARIANT]
 perambulations. My 	 perambulations: my 
 restored 	 restored, 
 vigour 	 strength 
air[DELstart] ,X[DELend][ADDstart] X[ADDend]  	 air 
 the 	 the 
progress  	 progress, 
 rendered 	 secluded 
unsocia[DELstart] ble[DELend][ADDstart] l,[ADDend][ADDstart] had[ADDend]  shunned 	 from 
[DELstart] face[DELend] company 	 intercourse 
 fellow beings But 	 fellow-creatures, and rendered me unsocial; but 
 heart. 	 heart; 
 nature 	 nature, 
 Friend! How 	 friend! how 
 me 	 me, 
 untill 	 until 
 own. 	 own! 
persuit[DELstart] e[DELend]  	 pursuit 
[ADDstart] ^[ADDend][ADDstart] me[ADDend]  untill 	 me, until 
gentle  ness & 	 gentleness and 
 & 	 and 
[ADDstart] ^[ADDend][ADDstart] my senses[ADDend]  	 my senses; 
[DELstart] now[DELend][ADDstart] ^[ADDend][ADDstart] now[ADDend]  	[NO 1831 VARIANT]
 who 	 who, 
 loving & 	 loved and 
care – [DELstart] I[DELend][DELstart] and[DELend][DELstart] in[DELend]  	 care. When happy, 
 had 	 had 
bes[DELstart] bo[DELend] towing 	 bestowing 
  — 	 sensations. 
[DELstart] filled[DELend]  	[NO 1831 VARIANT]
verdant[DELstart] s[DELend]  	 verdant 
extasy.–[ADDstart] T[ADDend][ADDstart] ^[ADDend][ADDstart] present[ADDend]  	 ecstasy. The present 
 divine – 	 divine; 
[DELstart] blossomed[DELend][ADDstart] ^[ADDend][ADDstart] bloomed[ADDend]  	 bloomed 
 hedges 	 hedges, 
 bud– 	 bud. 
[DELstart] dis[DELend]  	[NO 1831 VARIANT]
 not disturbed 	 undisturbed 
 that 	 which 
 preceeding 	 preceding 
me not withstand ing 	 me, notwithstanding 
off with 	 off, with 
burthen.[DELstart] a[DELend]  	 burden.     Henry 
[DELstart] im[DELend]  	[NO 1831 VARIANT]
 gaiety 	 gaiety, 
 sympathized 	 sympathised 
[DELstart] joy[DELend][ADDstart] feelings[ADDend]  – 	 feelings: 
exer ted 	 exerted 
 feelings 	 sensations 
[DELstart] al[DELend]  	[NO 1831 VARIANT]
[DELstart] mind[DELend][ADDstart] ^[ADDend][ADDstart] soul[ADDend] . 	 soul. 
astonishing.  his 	 astonishing: his 
 imagination 	 imagination; 
persi an& 	 Persian and 
[DELstart] great[DELend][ADDstart] ^[ADDend][ADDstart] wonderful[ADDend]  	 wonderful 
 interrest. 	 passion. 
 poems 	 poems, 
 arguments 	 arguments, 
ingenuity. We 	 ingenuity.     We 
[ADDstart] ^[ADDend] to 	 to 
colledge  	 college 
 sunday – 	 Sunday afternoon: 
pea  sants 	 peasants 
 dancing 	 dancing, 
 joyful 	 gay 
 happy – my 	 happy. My 
 high 	 high, 
[DELstart] a[DELend]  	[NO 1831 VARIANT]
[DELstart] hilarity[DELend]  	 unbridled 
  	[NO 1831 VARIANT]
 On 	 O N  
 return 	 return, 
father.  You 	 father:—     “My dear Victor,     “You 
impati[DELstart] the[DELend]  	 impatiently 
[DELstart] the[DELend][ADDstart] a[ADDend]  	 a 
[DELstart] which was[DELend]  	[NO 1831 VARIANT]
lines [DELstart] only[DELend][DELstart] to[DELend][DELstart] fix[DELend][DELstart] that[DELend] merely 	 lines, merely 
day[DELstart] date[DELend] on 	 day on 
you  – but 	 you. But 
[DELstart] very[DELend][ADDstart] ^[ADDend][ADDstart] a[ADDend]  	 a 
[ADDstart] ^[ADDend][ADDstart] kindness[ADDend] and 	 kindness, and 
[ADDstart] ^[ADDend][ADDstart] be[ADDend]  	 be 
[DELstart] be[DELend] , 	 surprise, 
son[DELstart] e[DELend] , 	 son, 
 your 	 you 
 gay welcome 	 glad welcome, 
[DELstart] heho[DELend][ADDstart] e[ADDend] ld 	 behold, 
 contrary 	 contrary, 
wretched ness. 	 wretchedness? 
 absence 	 Absence 
 griefs 	 griefs; 
 can 	 shall 
 an 	 my long 
 child.? 	 son? 
woeful  news 	 woful news, 
 page 	 page, 
tidings. William 	 tidings.     “William 
 dead! That 	 dead!—that 
 child 	 child, 
 & 	 and 
 me 	 my heart, 
 gentle 	 gentle, 
 gay, 	 gay! 
Murdered! I 	 murdered!     “I 
[DELstart] o[DELend]  	[NO 1831 VARIANT]
 you 	 you; 
  	[NO 1831 VARIANT]
 Last thurday 	 “Last Thursday 
[DELstart] 26[DELend][DELstart] yourmy[DELend][DELstart] cousin[DELend][ADDstart] my[ADDend] my niece 	 7th), I, my niece, 
 brothers 	 brothers, 
[DELstart] fat[DELend]  	[NO 1831 VARIANT]
[DELstart] ale[DELend]  	[NO 1831 VARIANT]
[DELstart] When[DELend] and 	 returning; and 
[DELstart] found[DELend][ADDstart] ^[ADDend][ADDstart] discovered[ADDend]  	 discovered 
 Ernest 	 William 
 William 	 Ernest, 
 untill 	 until 
came [DELstart] up[DELend] enquired for 	 came, and enquired if we had seen 
 brother 	 brother: 
 said 	 said, 
[DELstart] them[DELend] and 	 him, 
 himself 	 himself, 
had [DELstart] wai[DELend][DELstart] fo[DELend][ADDstart] vainly[ADDend]  	 vainly sought 
 him & 	 him, and 
wai  ted 	 waited for him 
 time 	 time, 
return. This 	 return.     “This account 
 us 	 us, 
[DELstart] sought[DELend] continued 	 continued 
him untill 	 him until 
fell[DELstart] l[DELend] ; 	 fell, 
house: [DELstart] but[DELend]  he 	 house. He 
 there – 	 there. 
 again 	 again, 
 torches 	 torches; 
 rest 	 rest, 
 child 	 boy 
 & 	 and 
[DELstart] We found him[DELend][DELstart] four[DELend][ADDstart] A[ADDend] in 	 About five in 
 boy 	 boy, 
  	[NO 1831 VARIANT]
 & 	 and 
health stretch  ed 	 health, stretched 
 motionless– 	 motionless: 
 murderers 	 murderer’s 
neck. He 	 neck.     “He 
 home 	 home, 
[DELstart] extreme[DELend][DELstart] wh[DELend][DELstart] misery[DELend][DELstart] agony[DELend][ADDstart] anguish[ADDend]  	 anguish 
 revealed 	 betrayed 
  	 very 
[DELstart] which[DELend][DELstart] refused[DELend][ADDstart] ^[ADDend] At 	 At 
her  	 her; 
[DELstart] [DELend]  	[NO 1831 VARIANT]
lay [DELstart] quickly[DELend]  	 lay, 
 victim 	 victim, 
[DELstart] hads[DELend][DELstart] Go[DELend]  Oh 	 hands exclaimed, ‘O 
[DELstart] this sweet[DELend][DELstart] babe[DELend][DELstart] .[DELend]  	[NO 1831 VARIANT]
 She fainted 	 child!’     “She fainted, 
 retored 	 restored 
difficulty; [DELstart] and[DELend]  when 	 difficulty. When 
 lived 	 lived, 
 sigh– 	 sigh. 
 me 	 me, 
 teazed 	 teased 
[DELstart] we[DELend][DELstart] we[DELend]  	[NO 1831 VARIANT]
 Mother. 	 mother. 
 gone 	 gone, 
[DELstart] of[DELend][DELstart] Come my dear Victor[DELend][DELstart] him[DELend]  	 of him 
[DELstart] but[DELend][ADDstart] altho[ADDend]  	 present, although 
[DELstart] are[DELend] to 	 to 
him are 	 him are 
William. Come, 	 William!     “Come, 
 Victor, 	 Victor; 
  	[NO 1831 VARIANT]
Elizabeth, [DELstart] who[DELend][ADDstart] She[ADDend]  	 Elizabeth. She 
[ADDstart] ^[ADDend][ADDstart] continually[ADDend] & 	 continually, and 
[DELstart] of all how u[DELend][DELstart] so[DELend]  	[NO 1831 VARIANT]
[DELstart] and[DELend][DELstart] of th[DELend][ADDstart] ^[ADDend]  	[NO 1831 VARIANT]
death— pierce 	 death; her words pierce 
 unhappy 	 unhappy; 
[DELstart] that[DELend]  	[NO 1831 VARIANT]
[DELstart] co[DELend]  	[NO 1831 VARIANT]
[DELstart] come[DELend][ADDstart] return[ADDend] and 	 return and 
 comforter. 	 comforter? 
 Mother! 	 mother! 
 say 	 say, 
[DELstart] this grief[DELend][DELstart] –[DELend][ADDstart] t[ADDend] he cruel 	 the cruel, 
darling. Come, 	 darling!     “Come, 
[DELstart] w[DELend]  	[NO 1831 VARIANT]
 assassin 	 assassin, 
 gentleness 	 gentleness, 
 heal 	 heal, 
 festering 	 festering, 
[DELstart] woul[DELend]  	[NO 1831 VARIANT]
[DELstart] soul[DELend]  	[NO 1831 VARIANT]
 son & friend 	 friend, 
 you & 	 you, and 
 Your 	    “Your 
 & 	 and 
father [DELstart] Al[DELend] Clerval 	 father,     “A LPHONSE  F RANKENSTEIN .     “Geneva, May 12th, 17—.”     Clerval, 
 letter 	 letter, 
in observ-  ing 	 to observe 
 table 	 table, 
hands. "My 	 hands.     “My 
 Frankenstien," 	 Frankenstein,” 
[DELstart] hen[DELend]  Henry 	 Henry, 
 saw 	 perceived 
 bitterness "are 	 bitterness, “are 
 "my 	 My 
happened?" I 	 happened?”     I 
[DELstart] read[DELend] take 	 take 
 letter 	 letter, 
 & 	 and 
 most extreme 	 extremest 
[DELstart] and[DELend]  tears 	 Tears 
[DELstart] gush[DELend][ADDstart] ^[ADDend][ADDstart] also[ADDend]  	 gushed 
[DELstart] his[DELend][ADDstart] ^[ADDend][ADDstart] the[ADDend]  	 the 
 of Clerval 	 of Clerval, 
  –"I 	 misfortune.     “I 
 "no 	 no 
 friend," 	 friend,” 
he [DELstart] my[DELend][DELstart] misfortune[DELend][ADDstart] disaster[ADDend]  	 he; “your disaster 
irreperable.[DELstart] "[DELend]  	 irreparable. 
 "do 	 do 
do"? "To 	 do?”     “To 
Geneva[DELstart] "[DELend]  	 Geneva: 
 Clerval, 	 Henry, 
horses" During 	 horses.”     During 
walk [DELstart] C[DELend] oured 	 walk, Clerval endeavoured 
raise my spirits– He did not  do this by the common topics 	 say a few words 
[DELstart] conversatio[DELend][DELstart] t[DELend][ADDstart] i[ADDend] ng the truest 	 consolation; he could only express his heartfelt 
 "Poor William" 	 “Poor William!” 
"that dear  "child 	 he, “dear lovely child, 
 "mother. His friends mourn 	 mother! Who that had seen him bright 
but  "he is at rest he does not now 	 over his untimely loss! To die so miserably; to 
[DELstart] green[DELend] "can no longer be a subject for pity 	 murderer’s grasp! How much more a murderer, that could destroy such radiant innocence! Poor little fellow! one only consolation have we; 
 "survivors are the greatest sufferers 	 friends mourn 
 "for them time 	 weep, but he 
the[DELstart] ir[DELend][DELstart] that[DELend] "object ought not to 	 at rest. The pang is over, his sufferings are at an end for ever. A sod covers his gentle form, and he knows no pain. He can no longer 
urged – even  "Cato wept over the dead body of 	 a subject for pity; we must reserve that for 
  	 miserable survivors.” 
 this 	 thus 
huried [DELstart] thou[DELend]  	 hurried 
 streets 	 streets; 
[DELstart] memor[DELend] mind 	 mind, 
 afterwads 	 afterwards 
[DELstart] As soon[DELend]  	[NO 1831 VARIANT]
 arrived 	 arrived, 
 Cabriolet 	 cabriolet, 
[DELstart] left Ingo[DELend] well 	 bade farewell 
friend. My 	 friend.     My 
 on 	 on, 
& sympathize [ADDstart] with[ADDend] my 	 and sympathise with my 
 friends 	 friends; 
[DELstart] t[DELend]  	[NO 1831 VARIANT]
 town 	 town, 
sla[ADDstart] ^[ADDend][ADDstart] c[ADDend] kened 	 slackened 
[DELstart] pace[DELend][DELstart] I[DELend][DELstart] C[DELend][ADDstart] progress[ADDend]  	 progress. 
[DELstart] crowed[DELend]  	[NO 1831 VARIANT]
[DELstart] scee[DELend]  	 through 
 youth 	 youth, 
 five years, how 	 six years. How 
[DELstart] during[DELend][ADDstart] since[ADDend][ADDstart] ?[ADDend]  one great 	 during that time! One 
 place 	 place; 
 circumstance 	 circumstances 
[DELstart] sapped[DELend][DELstart] worked[DELend][ADDstart] worked[ADDend]  	[NO 1831 VARIANT]
[DELstart] degreed[DELend]  	[NO 1831 VARIANT]
[DELstart] worked[DELend][DELstart] t[DELend][DELstart] as great[DELend][ADDstart] worked other[ADDend][ADDstart] ^[ADDend][ADDstart] which[ADDend]  	 worked other alterations, which, 
 it might be 	 they were 
 tranquilly would 	 tranquilly, might 
 me 	 me; 
[DELstart] had[DELend][DELstart] N[DELend]  	[NO 1831 VARIANT]
advance [DELstart] fea[DELend]  	 advance, 
[DELstart] thoug[DELend]  	[NO 1831 VARIANT]
tremble [DELstart] while[DELend][ADDstart] although[ADDend]  	 tremble, although 
[DELstart] could not[DELend] was 	 was 
  	 to define them. 
 I 	 I 
[DELstart] thus[DELend]  	 two days 
Lausanne for  two days not daring to proceed. 	 Lausanne, in this painful state of mind. 
 lake – 	 lake: 
 placid – 	 placid; 
 calm 	 calm; 
 Snowy mountains the "Palaces 	 snowy mountains, “the palaces 
Nature"[DELstart] Lord Byron[DELend][ADDstart] XXLord Byron[ADDend] were 	 nature,” were 
 degrees, this 	 degrees the 
[DELstart] proceeded[DELend] continued 	 continued 
 lake 	 lake, 
 town – 	 town. 
 Jura; 	 Jura, 
[ADDstart] ^[ADDend][ADDstart] bright[ADDend] summit 	 bright summit 
 Mount Blanc– 	 Mont Blanc. 
 child– Dear mountains 	 child. “Dear mountains! 
 lake 	 lake! 
 wanderer 	 wanderer? 
 clear 	 clear; 
 is 	 and placid. Is 
[ADDstart] ^[ADDend][ADDstart] to[ADDend] prognosticate peace 	 to prognosticate peace, 
mock[ADDstart] at[ADDend]  	 mock at 
unhappiness? I 	 unhappiness?”     I 
friend [ADDstart] ^[ADDend] that 	 friend, that 
 circumstances 	 circumstances; 
 happiness 	 happiness, 
[DELstart] dwell[DELend][ADDstart] ^[ADDend][ADDstart] think[ADDend][ADDstart] f[ADDend]  	 think of 
 pleasure – 	 pleasure. 
 Country 	 country, 
country Who [ADDstart] ^[ADDend] but 	 country! who but 
native can 	 native can 
[ADDstart] ^[ADDend][ADDstart] r[ADDend] eams 	 streams, 
 mountains and 	 mountains, and, 
 all 	 all, 
lake [DELstart] and[DELend]  	 lake! 
 Yet 	 Yet, 
 home 	 home, 
 me – night 	 me. Night 
[DELstart] me[DELend]  	 around; 
 mountains 	 mountains, 
gloomily I pictured [DELstart] to mysel[DELend][DELstart] f[DELend] evil 	 gloomily. The picture appeared a vast and dim scene of evil, 
 persuaded myself 	 I foresaw obscurely 
[DELstart] the[DELend][DELstart] most[DELend]  	[NO 1831 VARIANT]
w[DELstart] h[DELend] retched 	 wretched 
 beings– 	 beings. 
[DELstart] prho[DELend]  	[NO 1831 VARIANT]
 truly 	 truly, 
only in 	 only in 
circumstance:  	 circumstance, 
[DELstart] of[DELend]  	[NO 1831 VARIANT]
[DELstart] feel[DELend][DELstart] .[DELend]  	[NO 1831 VARIANT]
  	[NO 1831 VARIANT]
[ADDstart] ^[ADDend][ADDstart] in[ADDend]  	 It was completely dark 
[DELstart] and[DELend] the 	 in the environs of Geneva; the 
 Geneva 	 the town 
[DELstart] closed[DELend][ADDstart] ^[ADDend][ADDstart] shut[ADDend]  	 shut; 
 determined 	 was obliged 
 remain that 	 pass the 
 Secheron 	 Secheron, 
 -ward of 	 from 
[DELstart] night[DELend][ADDstart] sky[ADDend]  	 sky 
[DELstart] very fine[DELend][DELstart] unable[DELend][ADDstart] serene[ADDend]  	 serene; and, 
 rest 	 rest, 
[DELstart] walk toward[DELend][ADDstart] visit[ADDend]  	 visit 
m[ADDstart] y[ADDend] poor 	 my poor 
murdered;  as 	 murdered. As 
 walked 	 could not pass through the town, 
 perceived 	 was obliged to cross the lake in 
storm collecting  on the other side of the lake. 	 boat to arrive at Plainpalais. During this short voyage 
 play 	 playing on the summit of Mont Blanc 
 figures and gained 	 figures. The storm appeared to approach rapidly; and, on landing, I ascended 
 summit 	 low hill, 
[DELstart] the[DELend][ADDstart] ^[ADDend][ADDstart] its[ADDend]  	 its 
advanced [DELstart] slowly and[DELend]  	 advanced; the heavens were clouded, 
 drops 	 drops, 
encreased. I 	 increased.     I 
 seat 	 seat, 
 walk 	 walked 
aug mented 	 increased 
 minute 	 minute, 
[DELstart] violently over[DELend]  	[NO 1831 VARIANT]
head —   	 head. 
Salêve [ADDstart] ^[ADDend][ADDstart] the Jura[ADDend]  	 Salêve, the Juras, 
 Savoy— 	 Savoy; 
[DELstart] and[DELend]  	[NO 1831 VARIANT]
lake; [DELstart] and[DELend] then 	 lake, making it appear like a vast sheet of fire; then 
[DELstart] black[DELend][DELstart] til[DELend][ADDstart] ^[ADDend][ADDstart] darkness[ADDend]  untill 	 darkness, until 
[ADDstart] ^[ADDend][ADDstart] preceeding[ADDend]  	 preceding 
[DELstart] A[DELend]  	[NO 1831 VARIANT]
 storm 	 storm, 
[DELstart] that country[DELend][ADDstart] Switzerland[ADDend]  	 Switzerland, 
[DELstart] was[DELend][ADDstart] hung[ADDend]  	 hung 
[DELstart] noth[DELend]  	[NO 1831 VARIANT]
town [DELstart] and at[DELend][ADDstart] over[ADDend]  	 town, over 
[DELstart] where[DELend] of 	 of 
[DELstart] turns[DELend][ADDstart] ^[ADDend] which 	 which 
between the 	 between the 
[DELstart] changing[DELend][ADDstart] the[ADDend] village 	 the village 
